left,right,add,sub
1388.16,1367.21,2755.37,20.95
1393.8,1350.29,2744.09,43.51
1405.08,1372.05,2777.13,33.03
1405.08,1364.79,2769.87,40.29
1392.99,1370.43,2763.42,22.56
1392.19,1376.88,2769.07,15.31
1383.33,1367.21,2750.54,16.12
1400.24,1388.96,2789.2,11.28
1397.83,1370.43,2768.26,27.4
1392.19,1381.71,2773.9,10.48
1389.77,1373.66,2763.43,16.11
1392.19,1371.24,2763.43,20.95
1388.16,1368.82,2756.98,19.34
1400.24,1359.16,2759.4,41.08
1405.08,1372.05,2777.13,33.03
1391.38,1364.79,2756.17,26.59
1405.08,1376.88,2781.96,28.2
1395.41,1378.49,2773.9,16.92
1409.91,1388.96,2798.87,20.95
1413.94,1381.71,2795.65,32.23
1399.44,1381.71,2781.15,17.73
1417.16,1381.71,2798.87,35.45
1408.3,1396.22,2804.52,12.08
1410.72,1388.96,2799.68,21.76
1428.44,1388.96,2817.4,39.48
1405.08,1387.35,2792.43,17.73
1406.69,1405.08,2811.77,1.61
1407.5,1381.71,2789.21,25.79
1409.11,1402.66,2811.77,6.45
1416.36,1392.99,2809.35,23.37
1413.13,1402.66,2815.79,10.47
1416.36,1397.83,2814.19,18.53
1426.03,1396.22,2822.25,29.81
1405.08,1396.22,2801.3,8.86
1402.66,1403.47,2806.13,-0.81
1412.33,1404.27,2816.6,8.06
1413.13,1400.24,2813.37,12.89
1422.8,1405.88,2828.68,16.92
1428.44,1415.55,2843.99,12.89
1425.22,1384.13,2809.35,41.09
1415.55,1404.27,2819.82,11.28
1426.83,1405.08,2831.91,21.75
1432.47,1418.77,2851.24,13.7
1430.05,1401.05,2831.1,29
1420.39,1433.28,2853.67,-12.89
1436.5,1421.19,2857.69,15.31
1455.03,1439.72,2894.75,15.31
1576.68,1549.29,3125.97,27.39
1559.77,1536.4,3096.17,23.37
1522.71,1519.48,3042.19,3.23
1518.68,1510.62,3029.3,8.06
1521.09,1499.34,3020.43,21.75
1507.4,1499.34,3006.74,8.06
1503.37,1486.45,2989.82,16.92
1506.59,1493.7,3000.29,12.89
1522.71,1503.37,3026.08,19.34
1513.04,1506.59,3019.63,6.45
1505.79,1507.4,3013.19,-1.61
1502.56,1496.92,2999.48,5.64
1496.92,1499.34,2996.26,-2.42
1500.15,1486.45,2986.6,13.7
1495.31,1494.51,2989.82,0.8
1504.17,1497.73,3001.9,6.44
1499.34,1492.09,2991.43,7.25
1496.92,1533.98,3030.9,-37.06
1508.2,1523.51,3031.71,-15.31
1499.34,1519.48,3018.82,-20.14
1504.17,1514.65,3018.82,-10.48
1494.51,1523.51,3018.02,-29
1489.67,1517.07,3006.74,-27.4
1497.73,1513.04,3010.77,-15.31
1500.95,1517.07,3018.02,-16.12
1483.23,1520.29,3003.52,-37.06
