left,right,add,sub
1405.08,1430.86,2835.94,-25.78
1406.69,1422,2828.69,-15.31
1513.84,1474.37,2988.21,39.47
1529.96,1491.28,3021.24,38.68
1509.01,1460.67,2969.68,48.34
1492.9,1448.58,2941.48,44.32
1488.06,1439.72,2927.78,48.34
1484.84,1444.56,2929.4,40.28
1484.84,1441.33,2926.17,43.51
1464.7,1449.39,2914.09,15.31
1574.27,1554.93,3129.2,19.34
1513.84,1559.77,3073.61,-45.93
1457.45,1505.79,2963.24,-48.34
1439.72,1475.17,2914.89,-35.45
1407.5,1430.86,2838.36,-23.36
1400.24,1435.69,2835.93,-35.45
1392.99,1442.94,2835.93,-49.95
1397.83,1409.91,2807.74,-12.08
1391.38,1430.86,2822.24,-39.48
1397.02,1439.72,2836.74,-42.7
1403.47,1447.78,2851.25,-44.31
1407.5,1430.05,2837.55,-22.55
1393.8,1433.28,2827.08,-39.48
1401.05,1430.86,2831.91,-29.81
1403.47,1423.61,2827.08,-20.14
1402.66,1427.64,2830.3,-24.98
1382.52,1418.77,2801.29,-36.25
1396.22,1424.41,2820.63,-28.19
1399.44,1430.05,2829.49,-30.61
1436.5,1442.94,2879.44,-6.44
1519.48,1504.17,3023.65,15.31
1462.28,1468.73,2931.01,-6.45
1434.89,1458.25,2893.14,-23.36
1420.39,1438.92,2859.31,-18.53
1412.33,1436.5,2848.83,-24.17
1401.05,1419.58,2820.63,-18.53
1382.52,1426.03,2808.55,-43.51
1402.66,1412.33,2814.99,-9.67
1409.11,1416.36,2825.47,-7.25
1467.11,1434.08,2901.19,33.03
1467.11,1430.86,2897.97,36.25
1387.35,1405.08,2792.43,-17.73
1384.94,1405.88,2790.82,-20.94
1382.52,1410.72,2793.24,-28.2
1384.13,1419.58,2803.71,-35.45
1373.66,1405.88,2779.54,-32.22
1392.19,1401.05,2793.24,-8.86
1387.35,1408.3,2795.65,-20.95
1386.55,1409.11,2795.66,-22.56
1380.91,1405.88,2786.79,-24.97
1372.05,1388.16,2760.21,-16.11
1482.42,1483.23,2965.65,-0.81
1478.39,1480.81,2959.2,-2.42
1430.86,1462.28,2893.14,-31.42
1426.83,1445.36,2872.19,-18.53
1387.35,1421.19,2808.54,-33.84
1388.96,1405.88,2794.84,-16.92
1389.77,1416.36,2806.13,-26.59
1401.05,1415.55,2816.6,-14.5
1403.47,1406.69,2810.16,-3.22
1401.86,1415.55,2817.41,-13.69
1394.6,1425.22,2819.82,-30.62
1397.02,1422,2819.02,-24.98
1399.44,1420.39,2819.83,-20.95
1405.08,1422.8,2827.88,-17.72
1392.99,1413.94,2806.93,-20.95
1401.86,1414.75,2816.61,-12.89
1387.35,1405.08,2792.43,-17.73
1397.83,1417.16,2814.99,-19.33
1396.22,1410.72,2806.94,-14.5
1397.83,1434.89,2832.72,-37.06
1392.19,1405.08,2797.27,-12.89
1504.17,1509.01,3013.18,-4.84
1472.75,1491.28,2964.03,-18.53
1443.75,1459.06,2902.81,-15.31
1427.64,1443.75,2871.39,-16.11
1408.3,1430.86,2839.16,-22.56
1409.11,1442.14,2851.25,-33.03
1417.97,1464.7,2882.67,-46.73
1406.69,1425.22,2831.91,-18.53
1413.13,1425.22,2838.35,-12.09
1508.2,1471.95,2980.15,36.25
1515.45,1447.78,2963.23,67.67
1504.17,1444.56,2948.73,59.61
1482.42,1430.05,2912.47,52.37
1479.2,1434.08,2913.28,45.12
1475.17,1415.55,2890.72,59.62
1473.56,1432.47,2906.03,41.09
1467.11,1442.94,2910.05,24.17
1456.64,1426.03,2882.67,30.61
1454.22,1397.02,2851.24,57.2
1592.8,1539.62,3132.42,53.18
1560.57,1575.07,3135.64,-14.5
1509.81,1528.34,3038.15,-18.53
1460.67,1496.12,2956.79,-35.45
1422,1458.25,2880.25,-36.25
1409.91,1443.75,2853.66,-33.84
1396.22,1438.92,2835.14,-42.7
1404.27,1430.05,2834.32,-25.78
1401.86,1424.41,2826.27,-22.55
1380.1,1428.44,2808.54,-48.34
1387.35,1416.36,2803.71,-29.01
1380.91,1416.36,2797.27,-35.45
1376.88,1422,2798.88,-45.12
1388.16,1420.39,2808.55,-32.23
1379.3,1413.13,2792.43,-33.83
1382.52,1415.55,2798.07,-33.03
1383.33,1413.13,2796.46,-29.8
1388.16,1417.16,2805.32,-29
1397.02,1402.66,2799.68,-5.64
1390.58,1413.94,2804.52,-23.36
1392.19,1422,2814.19,-29.81
1401.05,1409.91,2810.96,-8.86
1405.08,1425.22,2830.3,-20.14
1393.8,1430.86,2824.66,-37.06
1391.38,1404.27,2795.65,-12.89
1489.67,1500.95,2990.62,-11.28
1486.45,1486.45,2972.9,0
1456.64,1473.56,2930.2,-16.92
1435.69,1457.45,2893.14,-21.76
1416.36,1442.14,2858.5,-25.78
1418.77,1446.17,2864.94,-27.4
1401.05,1438.92,2839.97,-37.87
1417.16,1443.75,2860.91,-26.59
1422,1448.58,2870.58,-26.58
1422.8,1433.28,2856.08,-10.48
1423.61,1448.58,2872.19,-24.97
1488.06,1469.53,2957.59,18.53
1513.84,1475.17,2989.01,38.67
1484.03,1458.25,2942.28,25.78
1494.51,1455.03,2949.54,39.48
1483.23,1451.81,2935.04,31.42
1444.56,1451.81,2896.37,-7.25
1455.83,1458.25,2914.08,-2.42
1448.58,1477.59,2926.17,-29.01
1459.06,1477.59,2936.65,-18.53
1473.56,1484.03,2957.59,-10.47
1443.75,1508.2,2951.95,-64.45
1494.51,1520.29,3014.8,-25.78
1587.96,1599.24,3187.2,-11.28
1522.71,1596.02,3118.73,-73.31
1492.9,1522.71,3015.61,-29.81
1444.56,1482.42,2926.98,-37.86
1419.58,1482.42,2902,-62.84
1425.22,1463.09,2888.31,-37.87
1422,1459.06,2881.06,-37.06
1409.91,1449.39,2859.3,-39.48
1406.69,1458.25,2864.94,-51.56
1404.27,1455.03,2859.3,-50.76
1456.64,1353.52,2810.16,103.12
1460.67,1353.52,2814.19,107.15
