start,,,
right,left,lighting led pin,
904.76,3299.19,0,234285
942.63,3299.19,0,351304
923.29,3299.19,0,468307
876.56,3299.19,0,585304
869.31,3299.19,0,702254
876.56,3299.19,0,819198
896.7,3299.19,0,936254
890.26,3299.19,0,1053315
889.45,3299.19,0,1170307
876.56,3299.19,0,1287239
875.76,3299.19,0,1404307
876.56,3299.19,0,1521250
865.28,3299.19,0,1645057
866.89,3299.19,0,1762269
866.09,3299.19,0,1879212
876.56,3299.19,0,1996228
871.73,3286.3,0,2120285
876.56,3299.19,0,2237315
876.56,3299.19,0,2354273
876.56,3299.19,0,2471281
878.17,3299.19,0,2588254
881.4,3299.19,0,2705199
883.81,3299.19,0,2822272
876.56,3299.19,0,2939198
881.4,3299.19,0,3056254
876.56,3299.19,0,3173315
878.17,3299.19,0,3290254
878.17,3299.19,0,3407198
876.56,3299.19,0,3524319
883.01,3299.19,0,3641239
878.17,3299.19,0,3758202
879.79,3299.19,0,3875251
867.7,3299.19,0,3992212
874.15,3299.19,0,4116097
881.4,3299.19,0,4233242
870.92,3299.19,0,4350198
876.56,3286.3,0,4467222
876.56,3289.53,0,4584250
889.45,3299.19,0,4701202
876.56,3299.19,0,4818281
863.67,3299.19,0,4935231
890.26,3299.19,0,5060188
889.45,3299.19,0,5177202
880.59,3299.19,0,5294250
883.01,3299.19,0,5411243
889.45,3297.58,0,5537931
889.45,3299.19,0,5655254
877.37,3299.19,0,5772250
883.81,3299.19,0,5889254
889.45,3299.19,0,6006315
870.92,3299.19,0,6123254
881.4,3299.19,0,6247250
876.56,3299.19,0,6364254
870.92,3299.19,0,6481269
878.17,3299.19,0,6598254
877.37,3299.19,0,6715251
879.79,3279.86,0,6832319
884.62,3284.69,1,6949251
888.65,3271.8,1,7066254
880.59,3266.97,1,7183269
880.59,3241.19,1,7300222
888.65,3234.74,1,7417281
883.01,3221.85,1,7534254
866.89,3244.41,1,7651198
889.45,3212.18,1,7768319
876.56,3221.85,1,7885269
880.59,3196.07,1,8002307
966.8,3299.19,1,8119250
893.48,3226.68,1,8236254
871.73,3241.19,1,8348852
876.56,3215.41,1,8465296
878.98,3215.41,1,8582250
876.56,3259.72,1,8699202
887.84,3247.63,1,8816250
889.45,3257.3,1,8933254
889.45,3270.19,1,9050239
889.45,3262.13,1,9167202
889.45,3250.85,0,9284239
893.48,3228.3,0,9408581
872.53,3286.3,0,9525304
876.56,3299.19,0,9642307
878.98,3299.19,0,9759209
895.9,3299.19,0,9876254
891.06,3279.86,0,9993250
878.17,3260.52,0,10110254
880.59,3263.75,0,10227250
877.37,3299.19,0,10351231
889.45,3299.19,0,10475239
878.98,3289.53,0,10592285
884.62,3295.97,0,10709269
884.62,3254.08,0,10826307
887.04,3270.19,0,10943304
884.62,3263.75,0,11060330
876.56,3260.52,0,11177338
878.98,3247.63,0,11294330
886.23,3266.97,0,11411304
879.79,3263.75,0,11528307
878.17,3279.86,2,11645304
887.04,3279.86,2,11762273
896.7,3234.74,2,11879315
854.81,3144.51,2,11996307
858.84,3134.84,2,12113281
838.7,3118.73,2,12230319
834.67,3131.62,2,12354281
833.86,3128.39,2,12471296
837.89,3121.95,2,12588281
841.11,3118.73,2,12705330
849.17,3131.62,2,12822315
840.31,3147.73,2,12939307
854.81,3131.62,2,13056250
847.56,3133.23,2,13173330
837.89,3157.4,2,13290304
854,3134.84,2,13407284
873.34,3157.4,2,13524315
854,3157.4,2,13641330
858.84,3131.62,2,13758315
865.28,3144.51,2,13875330
868.51,3150.95,0,13992250
864.48,3144.51,0,14109308
872.53,3208.96,0,14226251
889.45,3234.74,0,14358421
917.65,3247.63,0,14475304
925.71,3299.19,0,14592273
932.96,3279.86,0,14709269
928.93,3279.86,0,14826330
920.07,3299.19,0,14953040
918.46,3299.19,0,15070272
918.46,3299.19,0,15187304
920.07,3295.97,0,15304254
942.63,3291.14,0,15421304
930.54,3299.19,0,15538319
941.02,3299.19,0,15655315
917.65,3299.19,0,15772318
923.29,3299.19,0,15889315
912.01,3286.3,0,16006319
903.96,3273.41,0,16123303
897.51,3292.75,0,16240319
899.93,3286.3,1,16364418
900.73,3295.97,1,16481319
894.29,3286.3,1,16598304
918.46,3247.63,1,16715307
903.15,3234.74,1,16832315
891.06,3244.41,1,16949307
887.84,3228.3,1,17066315
889.45,3241.19,1,17183254
892.68,3254.08,1,17300315
895.09,3247.63,1,17417307
896.7,3254.08,1,17534281
893.48,3247.63,1,17651307
900.73,3258.91,1,17768304
892.68,3258.91,1,17885330
899.12,3260.52,1,18002269
890.26,3234.74,1,18119330
893.48,3241.19,1,18236304
893.48,3239.58,1,18360319
889.45,3237.96,1,18477250
885.42,3221.85,1,18594319
885.42,3247.63,2,18711250
885.42,3266.97,2,18828319
876.56,3247.63,2,18945315
837.89,3144.51,2,19069617
829.83,3110.67,2,19186315
820.97,3109.06,2,19310285
833.06,3102.61,2,19427281
829.83,3118.73,2,19544254
828.22,3125.17,2,19661269
834.67,3144.51,2,19778307
847.56,3109.06,2,19895315
845.14,3115.5,2,20012330
837.89,3118.73,2,20129304
837.89,3142.9,2,20246319
850.78,3131.62,2,20370394
852.39,3138.06,2,20487296
860.45,3115.5,2,20604304
855.62,3108.25,2,20721307
863.67,3112.28,2,20838315
859.64,3123.56,2,20955330
850.78,3131.62,1,21072327
863.67,3102.61,1,21189308
867.7,3141.28,1,21306292
894.29,3186.4,1,21423307
916.04,3208.96,1,21540292
