start,,,
right,left,lighting led pin,
898.32,2975.32,1,15510780
905.57,3001.1,0,15641777
905.57,2951.15,0,15772781
887.04,3015.6,0,15903786
880.59,3009.16,0,16034780
894.29,3005.93,0,16165786
894.29,3001.1,0,16296770
892.68,3005.93,0,16427714
886.23,3002.71,0,16557842
893.48,3003.52,0,16688725
964.38,3067.16,0,16818800
896.7,3001.1,0,16949827
884.62,3005.93,0,17080842
886.23,3015.6,0,17211714
889.45,3005.93,0,17348335
876.56,3002.71,0,17478766
896.7,3004.32,0,17609770
891.06,2999.49,0,17740785
889.45,2996.26,0,17871770
899.12,3015.6,0,18002797
891.06,3025.27,0,18133789
889.45,3009.16,1,18264767
903.15,3004.32,1,18395771
887.84,3002.71,1,18526785
899.93,2999.49,1,18657727
894.29,2999.49,1,18787766
891.87,2999.49,1,18918780
889.45,2980.15,1,19049767
899.93,2970.48,1,19180789
889.45,2973.71,1,19311786
889.45,2983.37,1,19442718
887.84,2983.37,1,19579261
888.65,2980.15,1,19709750
887.84,2954.37,1,19847861
891.06,2964.04,1,19978780
886.23,2981.76,1,20109777
870.92,3002.71,1,20240727
878.17,3004.32,1,20370736
891.06,2989.82,1,20500727
903.96,2989.82,1,20630724
903.96,3002.71,1,20769800
887.84,3002.71,2,20900714
887.04,2999.49,2,21030781
889.45,2986.6,2,21161808
851.59,2947.92,2,21292780
858.84,2926.98,2,21423766
851.59,2923.75,2,21554780
850.78,2886.69,2,21685714
858.84,2886.69,2,21822208
847.56,2912.48,2,21952785
850.78,2886.69,2,22083741
857.23,2938.26,2,22213786
858.84,2944.7,2,22343770
848.36,2947.92,2,22473766
858.03,2938.26,2,22603770
858.84,2931.81,2,22733766
862.87,2904.42,2,22863718
850.78,2941.48,2,22993767
861.25,2947.92,2,23123770
863.67,2928.59,2,23253797
876.56,2922.14,2,23384706
868.51,2925.37,0,23514767
873.34,2886.69,0,23644843
881.4,2925.37,0,23775777
889.45,2980.15,0,23905770
903.15,3004.32,0,24035766
907.18,2976.93,0,24172253
900.73,3015.6,0,24302839
902.34,2989.82,0,24433780
895.9,3015.6,0,24563777
961.16,3089.72,0,24700780
899.12,3026.88,0,24830777
896.7,3028.49,0,24960780
887.84,3047.83,0,25090766
889.45,3026.88,0,25220842
889.45,3020.43,0,25351797
894.29,3012.38,0,25490812
910.4,3015.6,0,25621766
889.45,3025.27,0,25751727
889.45,3028.49,0,25881786
897.51,3013.99,0,26011780
897.51,3034.94,2,26141839
889.45,3038.16,2,26272727
889.45,2938.26,2,26433599
870.12,2931.81,2,26568833
863.67,2922.14,2,26699777
853.2,2930.2,2,26830831
848.36,2938.26,2,26961766
853.2,2931.81,2,27092770
853.2,2883.47,2,27223827
858.84,2909.25,2,27354770
855.62,2912.48,2,27485777
863.67,2904.42,2,27616789
843.53,2943.9,2,27747767
858.84,2918.92,2,27878830
863.67,2912.48,2,28009767
863.67,2912.48,2,28140831
876.56,2912.48,2,28271839
871.73,2910.86,2,28402831
871.73,2912.48,2,28533767
874.15,2912.48,2,28671244
881.4,2905.22,1,28801714
884.62,2923.75,1,28932760
871.73,2969.68,1,29063827
910.4,2954.37,1,29194843
906.37,2931.81,1,29325786
902.34,2982.57,1,29456800
906.37,2970.48,1,29587714
953.91,3067.16,1,29718780
912.01,2980.15,1,29849725
905.57,2969.68,1,29980780
891.87,2941.48,1,30111767
902.34,2981.76,1,30250127
894.29,2983.37,1,30380767
889.45,2964.04,1,30511780
892.68,2968.87,1,30642736
894.29,2973.71,1,30773780
893.48,2973.71,1,30911296
893.48,2964.04,1,31041770
889.45,2960.82,1,31172767
898.32,2970.48,1,31327025
891.87,2964.04,0,31457839
902.34,2976.93,0,31588812
883.01,2999.49,0,31719767
895.9,3009.16,0,31850770
894.29,2986.6,0,31981777
889.45,3009.16,0,32112830
892.68,3004.32,0,32243827
887.84,3002.71,0,32374727
891.06,2983.37,0,32505839
891.06,2976.93,0,32636770
894.29,2986.6,0,32767839
891.06,3009.16,0,32898842
897.51,3001.1,0,33029850
913.62,3014.79,0,33167253
891.87,3067.16,0,33297827
