left,right,add,sub
1415.55,1446.17,2861.72,-30.62
1413.94,1430.86,2844.8,-16.92
1429.25,1461.47,2890.72,-32.22
1438.11,1466.31,2904.42,-28.2
1434.89,1444.56,2879.45,-9.67
1442.94,1454.22,2897.16,-11.28
1441.33,1458.25,2899.58,-16.92
1442.94,1439.72,2882.66,3.22
1430.05,1443.75,2873.8,-13.7
1420.39,1438.11,2858.5,-17.72
1434.08,1444.56,2878.64,-10.48
1441.33,1438.92,2880.25,2.41
1422.8,1439.72,2862.52,-16.92
1430.86,1447.78,2878.64,-16.92
1434.08,1444.56,2878.64,-10.48
1426.83,1441.33,2868.16,-14.5
1422,1441.33,2863.33,-19.33
1433.28,1456.64,2889.92,-23.36
1422,1462.28,2884.28,-40.28
1429.25,1443.75,2873,-14.5
1430.86,1446.17,2877.03,-15.31
1434.89,1443.75,2878.64,-8.86
1420.39,1443.75,2864.14,-23.36
1419.58,1441.33,2860.91,-21.75
1409.11,1441.33,2850.44,-32.22
1426.83,1439.72,2866.55,-12.89
1445.36,1436.5,2881.86,8.86
1430.86,1441.33,2872.19,-10.47
1435.69,1456.64,2892.33,-20.95
1442.94,1440.53,2883.47,2.41
1470.34,1455.03,2925.37,15.31
1467.92,1466.31,2934.23,1.61
1481.62,1456.64,2938.26,24.98
1457.45,1461.47,2918.92,-4.02
1453.42,1456.64,2910.06,-3.22
1435.69,1465.5,2901.19,-29.81
1422.8,1459.06,2881.86,-36.26
1435.69,1456.64,2892.33,-20.95
1435.69,1461.47,2897.16,-25.78
1433.28,1434.89,2868.17,-1.61
1430.05,1454.22,2884.27,-24.17
1430.86,1456.64,2887.5,-25.78
1415.55,1422.8,2838.35,-7.25
1425.22,1462.28,2887.5,-37.06
1409.11,1464.7,2873.81,-55.59
1429.25,1452.61,2881.86,-23.36
1415.55,1446.17,2861.72,-30.62
1431.67,1442.14,2873.81,-10.47
1430.05,1436.5,2866.55,-6.45
1431.67,1448.58,2880.25,-16.91
1439.72,1431.67,2871.39,8.05
1432.47,1430.86,2863.33,1.61
1431.67,1442.94,2874.61,-11.27
1436.5,1451,2887.5,-14.5
1442.14,1439.72,2881.86,2.42
1429.25,1431.67,2860.92,-2.42
1427.64,1446.17,2873.81,-18.53
1417.97,1456.64,2874.61,-38.67
1435.69,1441.33,2877.02,-5.64
1431.67,1446.17,2877.84,-14.5
1423.61,1447.78,2871.39,-24.17
1430.86,1430.86,2861.72,0
1417.16,1428.44,2845.6,-11.28
1419.58,1440.53,2860.11,-20.95
1417.16,1422,2839.16,-4.84
1426.03,1434.08,2860.11,-8.05
1417.16,1414.75,2831.91,2.41
1420.39,1434.89,2855.28,-14.5
1423.61,1430.05,2853.66,-6.44
1416.36,1418.77,2835.13,-2.41
1431.67,1435.69,2867.36,-4.02
1410.72,1436.5,2847.22,-25.78
1420.39,1435.69,2856.08,-15.3
1409.91,1449.39,2859.3,-39.48
1410.72,1449.39,2860.11,-38.67
1401.05,1489.67,2890.72,-88.62
1408.3,1434.08,2842.38,-25.78
1419.58,1433.28,2852.86,-13.7
1431.67,1449.39,2881.06,-17.72
1409.91,1442.94,2852.85,-33.03
1422.8,1442.14,2864.94,-19.34
1428.44,1441.33,2869.77,-12.89
1427.64,1443.75,2871.39,-16.11
1430.05,1442.94,2872.99,-12.89
1414.75,1442.14,2856.89,-27.39
1423.61,1433.28,2856.89,-9.67
1430.86,1432.47,2863.33,-1.61
1431.67,1445.36,2877.03,-13.69
1420.39,1441.33,2861.72,-20.94
1417.97,1436.5,2854.47,-18.53
1428.44,1446.17,2874.61,-17.73
1426.03,1442.94,2868.97,-16.91
1418.77,1440.53,2859.3,-21.76
1426.03,1432.47,2858.5,-6.44
1414.75,1442.14,2856.89,-27.39
1422.8,1444.56,2867.36,-21.76
1439.72,1438.92,2878.64,0.8
1430.86,1442.94,2873.8,-12.08
1455.83,1468.73,2924.56,-12.9
1435.69,1455.83,2891.52,-20.14
1436.5,1413.94,2850.44,22.56
1456.64,1452.61,2909.25,4.03
1452.61,1436.5,2889.11,16.11
1429.25,1431.67,2860.92,-2.42
1429.25,1455.83,2885.08,-26.58
1423.61,1430.86,2854.47,-7.25
1415.55,1441.33,2856.88,-25.78
1426.83,1442.14,2868.97,-15.31
1426.83,1442.94,2869.77,-16.11
1420.39,1446.17,2866.56,-25.78
1430.86,1436.5,2867.36,-5.64
1446.17,1449.39,2895.56,-3.22
1429.25,1452.61,2881.86,-23.36
1430.86,1456.64,2887.5,-25.78
1422.8,1457.45,2880.25,-34.65
1438.11,1467.11,2905.22,-29
1430.86,1452.61,2883.47,-21.75
1422.8,1454.22,2877.02,-31.42
1426.03,1447.78,2873.81,-21.75
1422.8,1447.78,2870.58,-24.98
1430.86,1456.64,2887.5,-25.78
1430.86,1443.75,2874.61,-12.89
1439.72,1451,2890.72,-11.28
1441.33,1434.89,2876.22,6.44
1422.8,1445.36,2868.16,-22.56
1430.05,1442.94,2872.99,-12.89
1438.92,1441.33,2880.25,-2.41
1432.47,1471.14,2903.61,-38.67
1433.28,1470.34,2903.62,-37.06
1417.97,1459.06,2877.03,-41.09
1422,1463.89,2885.89,-41.89
1430.05,1477.59,2907.64,-47.54
1418.77,1455.83,2874.6,-37.06
1428.44,1457.45,2885.89,-29.01
1438.11,1447.78,2885.89,-9.67
1409.11,1470.34,2879.45,-61.23
1439.72,1455.83,2895.55,-16.11
1454.22,1451,2905.22,3.22
1452.61,1453.42,2906.03,-0.81
1448.58,1442.94,2891.52,5.64
1444.56,1451,2895.56,-6.44
1438.92,1455.83,2894.75,-16.91
1438.92,1455.03,2893.95,-16.11
1441.33,1438.92,2880.25,2.41
1426.03,1439.72,2865.75,-13.69
1420.39,1443.75,2864.14,-23.36
1416.36,1441.33,2857.69,-24.97
1419.58,1451.81,2871.39,-32.23
1422.8,1440.53,2863.33,-17.73
1394.6,1436.5,2831.1,-41.9
1432.47,1456.64,2889.11,-24.17
1459.06,1456.64,2915.7,2.42
1443.75,1455.03,2898.78,-11.28
1439.72,1461.47,2901.19,-21.75
1430.86,1459.86,2890.72,-29
1435.69,1461.47,2897.16,-25.78
1439.72,1445.36,2885.08,-5.64
1425.22,1422,2847.22,3.22
1409.91,1432.47,2842.38,-22.56
1422,1433.28,2855.28,-11.28
1420.39,1435.69,2856.08,-15.3
1422.8,1435.69,2858.49,-12.89
1425.22,1431.67,2856.89,-6.45
1422.8,1433.28,2856.08,-10.48
1426.03,1391.38,2817.41,34.65
1439.72,1451,2890.72,-11.28
1446.17,1443.75,2889.92,2.42
1439.72,1442.14,2881.86,-2.42
1432.47,1446.17,2878.64,-13.7
1430.86,1451.81,2882.67,-20.95
1426.03,1443.75,2869.78,-17.72
1415.55,1448.58,2864.13,-33.03
1431.67,1446.17,2877.84,-14.5
1431.67,1434.89,2866.56,-3.22
1423.61,1435.69,2859.3,-12.08
1430.05,1441.33,2871.38,-11.28
1432.47,1443.75,2876.22,-11.28
1431.67,1441.33,2873,-9.66
1430.86,1436.5,2867.36,-5.64
1428.44,1452.61,2881.05,-24.17
1434.89,1451,2885.89,-16.11
1431.67,1432.47,2864.14,-0.8
1419.58,1442.94,2862.52,-23.36
1416.36,1439.72,2856.08,-23.36
1442.94,1430.86,2873.8,12.08
1431.67,1426.83,2858.5,4.84
1410.72,1438.11,2848.83,-27.39
1430.05,1432.47,2862.52,-2.42
1425.22,1441.33,2866.55,-16.11
1435.69,1430.86,2866.55,4.83
1430.86,1433.28,2864.14,-2.42
1422.8,1432.47,2855.27,-9.67
1430.86,1436.5,2867.36,-5.64
1438.92,1418.77,2857.69,20.15
1430.86,1426.83,2857.69,4.03
1453.42,1447.78,2901.2,5.64
1444.56,1456.64,2901.2,-12.08
1449.39,1443.75,2893.14,5.64
1448.58,1430.86,2879.44,17.72
1442.94,1430.86,2873.8,12.08
