right,left,light index,add,sub,light
848.36,2770.68,1,2771.68,2769.68,90
863.67,2770.68,1,2771.68,2769.68,90
854,2783.57,2,2785.57,2781.57,30
857.23,2767.46,2,2769.46,2765.46,30
858.84,2791.63,2,2793.63,2789.63,30
865.28,2771.48,2,2773.48,2769.48,30
829.03,2783.57,2,2785.57,2781.57,30
815.33,2725.56,2,2727.56,2723.56,30
812.92,2746.51,2,2748.51,2744.51,30
823.39,2696.56,2,2698.56,2694.56,30
820.17,2709.45,2,2711.45,2707.45,30
837.89,2696.56,2,2698.56,2694.56,30
834.67,2706.23,2,2708.23,2704.23,30
844.34,2703,2,2705,2701,30
816.14,2712.67,2,2714.67,2710.67,30
832.25,2712.67,2,2714.67,2710.67,30
834.67,2718.31,2,2720.31,2716.31,30
852.39,2732.01,2,2734.01,2730.01,30
842.72,2741.67,2,2743.67,2739.67,30
841.11,2735.23,2,2737.23,2733.23,30
837.89,2717.5,2,2719.5,2715.5,30
837.89,2719.12,2,2721.12,2717.12,30
837.89,2712.67,1,2713.67,2711.67,90
850.78,2705.42,1,2706.42,2704.42,90
863.67,2738.45,1,2739.45,2737.45,90
887.04,2738.45,1,2739.45,2737.45,90
889.45,2764.23,1,2765.23,2763.23,90
887.84,2754.57,1,2755.57,2753.57,90
895.9,2775.51,1,2776.51,2774.51,90
889.45,2770.68,1,2771.68,2769.68,90
894.29,2761.01,1,2762.01,2760.01,90
890.26,2777.12,1,2778.12,2776.12,90
889.45,2761.01,1,2762.01,2760.01,90
889.45,2770.68,1,2771.68,2769.68,90
887.04,2764.23,1,2765.23,2763.23,90
889.45,2769.07,1,2770.07,2768.07,90
877.37,2762.62,1,2763.62,2761.62,90
881.4,2757.79,1,2758.79,2756.79,90
883.81,2757.79,1,2758.79,2756.79,90
869.31,2761.01,1,2762.01,2760.01,90
876.56,2764.23,1,2765.23,2763.23,90
874.95,2748.12,1,2749.12,2747.12,90
870.92,2749.73,0,2749.73,2749.73,150
876.56,2748.12,0,2748.12,2748.12,150
878.17,2754.57,0,2754.57,2754.57,150
879.79,2777.12,0,2777.12,2777.12,150
870.12,2777.12,0,2777.12,2777.12,150
876.56,2777.12,0,2777.12,2777.12,150
876.56,2775.51,0,2775.51,2775.51,150
865.28,2783.57,0,2783.57,2783.57,150
876.56,2775.51,0,2775.51,2775.51,150
877.37,2783.57,0,2783.57,2783.57,150
883.01,2777.12,0,2777.12,2777.12,150
876.56,2767.46,0,2767.46,2767.46,150
867.7,2790.01,0,2790.01,2790.01,150
864.48,2772.29,0,2772.29,2772.29,150
876.56,2772.29,0,2772.29,2772.29,150
857.23,2757.79,0,2757.79,2757.79,150
864.48,2770.68,0,2770.68,2770.68,150
866.89,2757.79,0,2757.79,2757.79,150
871.73,2769.07,0,2769.07,2769.07,150
866.09,2751.34,0,2751.34,2751.34,150
866.89,2757.79,2,2759.79,2755.79,30
873.34,2756.18,2,2758.18,2754.18,30
876.56,2767.46,2,2769.46,2765.46,30
870.92,2741.67,2,2743.67,2739.67,30
865.28,2706.23,2,2708.23,2704.23,30
858.84,2670.78,2,2672.78,2668.78,30
852.39,2665.94,2,2667.94,2663.94,30
837.89,2651.44,2,2653.44,2649.44,30
846.75,2659.5,2,2661.5,2657.5,30
837.08,2657.89,2,2659.89,2655.89,30
850.78,2661.11,2,2663.11,2659.11,30
834.67,2635.33,2,2637.33,2633.33,30
833.06,2672.39,2,2674.39,2670.39,30
837.89,2677.22,2,2679.22,2675.22,30
841.11,2643.38,2,2645.38,2641.38,30
829.83,2648.22,2,2650.22,2646.22,30
837.89,2661.11,2,2663.11,2659.11,30
849.17,2659.5,2,2661.5,2657.5,30
842.72,2674,2,2676,2672,30
841.92,2645,2,2647,2643,30
842.72,2641.77,1,2642.77,2640.77,90
847.56,2642.58,1,2643.58,2641.58,90
831.45,2648.22,1,2649.22,2647.22,90
870.92,2719.12,1,2720.12,2718.12,90
871.73,2686.89,1,2687.89,2685.89,90
876.56,2699.78,1,2700.78,2698.78,90
887.04,2694.95,1,2695.95,2693.95,90
889.45,2703,1,2704,2702,90
889.45,2703,1,2704,2702,90
893.48,2712.67,1,2713.67,2711.67,90
887.84,2738.45,1,2739.45,2737.45,90
889.45,2719.12,1,2720.12,2718.12,90
886.23,2706.23,1,2707.23,2705.23,90
892.68,2706.23,1,2707.23,2705.23,90
884.62,2703,1,2704,2702,90
878.17,2699.78,1,2700.78,2698.78,90
